year,state,state_abbr,county,D_candidate_votes,R_candidate_votes,totalvotes,percent_republican,percent_democrat,%difference(d_favor),FIPS
2016,Texas,TX,Sabine,614,3998,4651,85.9600086,13.20146205,-72.75854655,48403
2016,Texas,TX,San Augustine,910,2622,3569,73.46595685,25.49733819,-47.96861866,48405
2016,Texas,TX,San Jacinto,2038,8059,10343,77.91743208,19.70414773,-58.21328435,48407
2016,Texas,TX,San Patricio,7871,13030,21656,60.16808275,36.34558552,-23.82249723,48409
2016,Texas,TX,San Saba,293,2025,2357,85.91429784,12.43105643,-73.48324141,48411
2016,Texas,TX,Schleicher,208,821,1059,77.52596789,19.64117092,-57.88479698,48413
2016,Texas,TX,Scurry,733,4410,5289,83.38060125,13.85895254,-69.5216487,48415
2016,Texas,TX,Shackelford,103,1378,1504,91.62234043,6.848404255,-84.77393617,48417
2016,Texas,TX,Shelby,1758,7179,9086,79.0116663,19.34844816,-59.66321814,48419
2016,Texas,TX,Sherman,96,807,935,86.31016043,10.26737968,-76.04278075,48421
2016,Texas,TX,Smith,22300,58930,84768,69.51915817,26.30709702,-43.21206116,48423
2016,Texas,TX,Somervell,541,3206,3897,82.2684116,13.8824737,-68.3859379,48425
2016,Texas,TX,Starr,9289,2224,11740,18.94378194,79.12265758,60.17887564,48427
2016,Texas,TX,Stephens,348,3034,3461,87.66252528,10.05489743,-77.60762785,48429
2016,Texas,TX,Sterling,70,549,633,86.72985782,11.05845182,-75.671406,48431
2016,Texas,TX,Stonewall,135,555,701,79.17261056,19.25820257,-59.91440799,48433
2016,Texas,TX,Sutton,313,1075,1416,75.9180791,22.10451977,-53.81355932,48435
2016,Texas,TX,Swisher,462,1671,2204,75.81669691,20.96188748,-54.85480944,48437
2016,Texas,TX,Tarrant,288392,345921,668514,51.74476526,43.13926111,-8.605504148,48439
2016,Texas,TX,Taylor,10085,33250,45759,72.66330121,22.03938023,-50.62392098,48441
2016,Texas,TX,Terrell,140,288,438,65.75342466,31.96347032,-33.78995434,48443
2016,Texas,TX,Terry,753,2459,3355,73.29359165,22.44411326,-50.84947839,48445
2016,Texas,TX,Throckmorton,84,715,808,88.49009901,10.3960396,-78.09405941,48447
2016,Texas,TX,Titus,2597,6511,9419,69.12623421,27.57192908,-41.55430513,48449
2016,Texas,TX,Tom Green,9173,27494,38479,71.45196081,23.8389771,-47.61298371,48451
2016,Texas,TX,Travis,308260,127209,468720,27.13965694,65.76634238,38.62668544,48453
2016,Texas,TX,Trinity,1154,4737,5985,79.14786967,19.28153718,-59.8663325,48455
2016,Texas,TX,Tyler,1248,6624,8016,82.63473054,15.56886228,-67.06586826,48457
2016,Texas,TX,Upshur,2380,13209,16013,82.4892275,14.86292387,-67.62630363,48459
2016,Texas,TX,Upton,286,1007,1347,74.75872309,21.23236823,-53.52635486,48461
2016,Texas,TX,Uvalde,3867,4835,8964,53.93797412,43.13922356,-10.79875056,48463
2016,Texas,TX,Val Verde,6964,5890,13617,43.25475509,51.14195491,7.887199824,48465
2016,Texas,TX,Van Zandt,2799,18473,21890,84.39013248,12.78666058,-71.6034719,48467
2016,Texas,TX,Victoria,8866,21275,31123,68.35780612,28.48697105,-39.87083507,48469
2016,Texas,TX,Walker,6091,12884,19796,65.08385532,30.76884219,-34.31501313,48471
2016,Texas,TX,Waller,5748,10531,16784,62.74428027,34.24690181,-28.49737846,48473
2016,Texas,TX,Ward,783,2547,3445,73.93323657,22.72859216,-51.20464441,48475
2016,Texas,TX,Washington,3382,10945,14828,73.81305638,22.8082007,-51.00485568,48477
2016,Texas,TX,Webb,42307,12947,56905,22.75195501,74.34671821,51.5947632,48479
2016,Texas,TX,Wharton,4238,10149,14732,68.89084985,28.76730926,-40.12354059,48481
2016,Texas,TX,Wheeler,194,2087,2306,90.50303556,8.41283608,-82.09019948,48483
2016,Texas,TX,Wichita,8770,27631,38119,72.48616176,23.00689945,-49.47926231,48485
2016,Texas,TX,Wilbarger,809,3166,4105,77.12545676,19.70767357,-57.41778319,48487
2016,Texas,TX,Willacy,3422,1547,5095,30.36310108,67.16388616,36.80078508,48489
2016,Texas,TX,Williamson,84468,104175,203081,51.29726562,41.59325589,-9.70400973,48491
2016,Texas,TX,Wilson,4790,13998,19432,72.03581721,24.65006175,-47.38575545,48493
2016,Texas,TX,Winkler,420,1403,1876,74.78678038,22.3880597,-52.39872068,48495
2016,Texas,TX,Wise,3412,20670,24776,83.42751049,13.77139167,-69.65611882,48497
2016,Texas,TX,Wood,2630,15700,18727,83.83617237,14.04389384,-69.79227853,48499
2016,Texas,TX,Yoakum,426,1797,2303,78.02865827,18.49761181,-59.53104646,48501
2016,Texas,TX,Young,876,6601,7707,85.64940963,11.36629039,-74.28311924,48503
2016,Texas,TX,Zapata,2063,1029,3142,32.74984087,65.65881604,32.90897518,48505
2016,Texas,TX,Zavala,2636,694,3396,20.43580683,77.62073027,57.18492344,48507
2016,Utah,UT,Beaver,264,1838,2491,73.78562826,10.59815335,-63.18747491,49001
2016,Utah,UT,Box Elder,2282,12230,19735,61.9711173,11.56321257,-50.40790474,49003
2016,Utah,UT,Cache,8563,21139,46157,45.79803713,18.55189895,-27.24613818,49005
2016,Utah,UT,Carbon,1717,5275,7952,66.33551308,21.59205231,-44.74346076,49007
2016,Utah,UT,Daggett,77,331,474,69.83122363,16.24472574,-53.58649789,49009
2016,Utah,UT,Davis,28776,62219,138411,44.95235205,20.79025511,-24.16209694,49011
2016,Utah,UT,Duchesne,500,5508,6942,79.34312878,7.202535292,-72.14059349,49013
2016,Utah,UT,Emery,380,3425,4289,79.85544416,8.859874097,-70.99557006,49015
2016,Utah,UT,Garfield,358,1606,2344,68.51535836,15.27303754,-53.24232082,49017
2016,Utah,UT,Grand,1960,1975,4533,43.5693801,43.23847342,-0.330906684,49019
2016,Utah,UT,Iron,2450,11561,17654,65.48657528,13.8778747,-51.60870058,49021
2016,Utah,UT,Juab,442,2827,4177,67.68015322,10.58175724,-57.09839598,49023
2016,Utah,UT,Kane,741,2265,3505,64.62196862,21.14122682,-43.4807418,49025
2016,Utah,UT,Millard,431,3860,5242,73.63601679,8.222052652,-65.41396414,49027
2016,Utah,UT,Morgan,577,3188,5192,61.40215716,11.11325116,-50.28890601,49029
2016,Utah,UT,Piute,47,626,729,85.87105624,6.447187929,-79.42386831,49031
2016,Utah,UT,Rich,104,797,1109,71.86654644,9.377817854,-62.48872858,49033
2016,Utah,UT,Salt Lake,175863,138043,418868,32.95620577,41.98530325,9.029097472,49035
2016,Utah,UT,San Juan,2042,2645,5447,48.55883973,37.48852579,-11.07031393,49037
2016,Utah,UT,Sanpete,1061,6673,10164,65.65328611,10.43880362,-55.21448249,49039
2016,Utah,UT,Sevier,695,6740,8654,77.88305986,8.030968338,-69.85209152,49041
2016,Utah,UT,Summit,10503,7333,20641,35.52637954,50.88416259,15.35778305,49043
2016,Utah,UT,Tooele,4573,11169,21829,51.16588025,20.94919602,-30.21668423,49045
2016,Utah,UT,Uintah,995,9810,12797,76.65859186,7.775259827,-68.88333203,49047
2016,Utah,UT,Utah,28522,102182,201551,50.69783826,14.151257,-36.54658126,49049
2016,Utah,UT,Wasatch,3063,6115,12120,50.45379538,25.27227723,-25.18151815,49051
2016,Utah,UT,Washington,10288,42650,61963,68.83139938,16.6034569,-52.22794248,49053
2016,Utah,UT,Wayne,271,966,1421,67.98029557,19.07107671,-48.90921886,49055
2016,Utah,UT,Weber,23131,40235,85039,47.31358553,27.20046096,-20.11312457,49057
2016,Vermont,VT,Addison,11219,5297,19031,27.83353476,58.95118491,31.11765015,50001
2016,Vermont,VT,Bennington,9539,5925,17381,34.0889477,54.88176745,20.79281975,50003
2016,Vermont,VT,Caledonia,6445,5534,14075,39.31793961,45.79040853,6.472468917,50005
2016,Vermont,VT,Chittenden,54814,18601,83418,22.29854468,65.7100386,43.41149392,50007
2016,Vermont,VT,Essex,1019,1506,2925,51.48717949,34.83760684,-16.64957265,50009
2016,Vermont,VT,Franklin,9351,8752,21411,40.87618514,43.67381253,2.797627388,50011
2016,Vermont,VT,Grand Isle,2094,1487,4110,36.18004866,50.94890511,14.76885645,50013
2016,Vermont,VT,Lamoille,7241,3570,12762,27.97367184,56.73875568,28.76508384,50015
2016,Vermont,VT,Orange,7541,5007,14649,34.1798075,51.47791658,17.29810909,50017
2016,Vermont,VT,Orleans,5185,5159,12047,42.82393957,43.03976094,0.215821366,50019
