,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_republican
41322,2016,Colorado,CO,Rio Grande,Donald Trump,republican,3085.0,5534,55.74629562703288
41325,2016,Colorado,CO,Routt,Donald Trump,republican,5230.0,13986,37.394537394537394
41328,2016,Colorado,CO,Saguache,Donald Trump,republican,1147.0,2835,40.45855379188713
41331,2016,Colorado,CO,San Juan,Donald Trump,republican,215.0,506,42.490118577075094
41334,2016,Colorado,CO,San Miguel,Donald Trump,republican,1033.0,4329,23.862323862323862
41337,2016,Colorado,CO,Sedgwick,Donald Trump,republican,1015.0,1364,74.41348973607037
41340,2016,Colorado,CO,Summit,Donald Trump,republican,5100.0,16174,31.532088537158405
41343,2016,Colorado,CO,Teller,Donald Trump,republican,9745.0,14444,67.4674605372473
41346,2016,Colorado,CO,Washington,Donald Trump,republican,2299.0,2733,84.12001463593121
41349,2016,Colorado,CO,Weld,Donald Trump,republican,76651.0,135428,56.59907847712438
41352,2016,Colorado,CO,Yuma,Donald Trump,republican,3850.0,4791,80.35900647046546
41355,2016,Connecticut,CT,Fairfield,Donald Trump,republican,160077.0,421209,38.004173699992165
41358,2016,Connecticut,CT,Hartford,Donald Trump,republican,148173.0,406864,36.41831177002635
41361,2016,Connecticut,CT,Litchfield,Donald Trump,republican,53051.0,97442,54.443669054411856
41364,2016,Connecticut,CT,Middlesex,Donald Trump,republican,38867.0,88624,43.85606607690919
41367,2016,Connecticut,CT,New Haven,Donald Trump,republican,159048.0,379006,41.964507158198025
41370,2016,Connecticut,CT,New London,Donald Trump,republican,54058.0,123528,43.761738229389294
41373,2016,Connecticut,CT,Tolland,Donald Trump,republican,34194.0,77424,44.16460012399256
41376,2016,Connecticut,CT,Windham,Donald Trump,republican,25747.0,50823,50.660134191212634
41379,2016,Delaware,DE,Kent,Donald Trump,republican,36991.0,74598,49.58712029813132
41382,2016,Delaware,DE,New Castle,Donald Trump,republican,85525.0,262391,32.59448685358873
41385,2016,Delaware,DE,Sussex,Donald Trump,republican,62611.0,106008,59.0625235831258
41388,2016,District of Columbia,DC,District of Columbia,Donald Trump,republican,12723.0,311268,4.087474459308377
41391,2016,Florida,FL,Alachua,Donald Trump,republican,46834.0,128571,36.42656586633067
41394,2016,Florida,FL,Baker,Donald Trump,republican,10294.0,12634,81.47854994459395
41397,2016,Florida,FL,Bay,Donald Trump,republican,62194.0,87453,71.1170571621328
41400,2016,Florida,FL,Bradford,Donald Trump,republican,8913.0,12098,73.67333443544388
41403,2016,Florida,FL,Brevard,Donald Trump,republican,181848.0,314752,57.77501016673444
41406,2016,Florida,FL,Broward,Donald Trump,republican,260951.0,831951,31.366150169901836
41409,2016,Florida,FL,Calhoun,Donald Trump,republican,4655.0,6081,76.54990955434961
41412,2016,Florida,FL,Charlotte,Donald Trump,republican,60218.0,96374,62.4836574179758
41415,2016,Florida,FL,Citrus,Donald Trump,republican,54456.0,79700,68.32622333751569
41418,2016,Florida,FL,Clay,Donald Trump,republican,74963.0,106483,70.3990308312125
41421,2016,Florida,FL,Collier,Donald Trump,republican,105423.0,170789,61.72704331075186
41424,2016,Florida,FL,Columbia,Donald Trump,republican,20368.0,28707,70.95133591110182
41427,2016,Florida,FL,Desoto,Donald Trump,republican,6778.0,10818,62.6548345350342
41430,2016,Florida,FL,Dixie,Donald Trump,republican,5822.0,7202,80.83865592890864
41433,2016,Florida,FL,Duval,Donald Trump,republican,211672.0,432695,48.91944672344261
41436,2016,Florida,FL,Escambia,Donald Trump,republican,88808.0,152469,58.24659438967922
41439,2016,Florida,FL,Flagler,Donald Trump,republican,33850.0,57503,58.86649392205624
41442,2016,Florida,FL,Franklin,Donald Trump,republican,4125.0,6015,68.5785536159601
41445,2016,Florida,FL,Gadsden,Donald Trump,republican,6728.0,22113,30.425541536652652
41448,2016,Florida,FL,Gilchrist,Donald Trump,republican,6740.0,8420,80.04750593824228
41451,2016,Florida,FL,Glades,Donald Trump,republican,2996.0,4353,68.82609694463588
41454,2016,Florida,FL,Gulf,Donald Trump,republican,5329.0,7293,73.07006718771424
41457,2016,Florida,FL,Hamilton,Donald Trump,republican,3443.0,5460,63.05860805860806
41460,2016,Florida,FL,Hardee,Donald Trump,republican,5242.0,7583,69.12831333245417
41463,2016,Florida,FL,Hendry,Donald Trump,republican,6195.0,11115,55.735492577597846
41466,2016,Florida,FL,Hernando,Donald Trump,republican,58970.0,93796,62.87048488208452
41469,2016,Florida,FL,Highlands,Donald Trump,republican,29565.0,45686,64.71347896510966
41472,2016,Florida,FL,Hillsborough,Donald Trump,republican,266870.0,597660,44.652477997523675
41475,2016,Florida,FL,Holmes,Donald Trump,republican,7483.0,8514,87.89053323937046
41478,2016,Florida,FL,Indian River,Donald Trump,republican,48620.0,80009,60.768163581597065
41481,2016,Florida,FL,Jackson,Donald Trump,republican,14257.0,21041,67.75818639798489
41484,2016,Florida,FL,Jefferson,Donald Trump,republican,3930.0,7645,51.406147809025505
41487,2016,Florida,FL,Lafayette,Donald Trump,republican,2809.0,3392,82.8125
41490,2016,Florida,FL,Lake,Donald Trump,republican,102188.0,170462,59.94767162182774
41493,2016,Florida,FL,Lee,Donald Trump,republican,191551.0,326420,58.68237240365174
41496,2016,Florida,FL,Leon,Donald Trump,republican,53821.0,152132,35.3778297794021
41499,2016,Florida,FL,Levy,Donald Trump,republican,13775.0,19395,71.02345965455015
41502,2016,Florida,FL,Liberty,Donald Trump,republican,2543.0,3296,77.15412621359224
41505,2016,Florida,FL,Madison,Donald Trump,republican,4851.0,8505,57.03703703703704
41508,2016,Florida,FL,Manatee,Donald Trump,republican,101944.0,178958,56.96532147207725
41511,2016,Florida,FL,Marion,Donald Trump,republican,107833.0,174700,61.72467086433887
41514,2016,Florida,FL,Martin,Donald Trump,republican,53204.0,85792,62.01510630361805
41517,2016,Florida,FL,Miami-Dade,Donald Trump,republican,333999.0,980204,34.07443756605768
41520,2016,Florida,FL,Monroe,Donald Trump,republican,21904.0,42478,51.56551626724421
41523,2016,Florida,FL,Nassau,Donald Trump,republican,34266.0,46607,73.52114489239814
41526,2016,Florida,FL,Okaloosa,Donald Trump,republican,71893.0,100855,71.28352585394873
41529,2016,Florida,FL,Okeechobee,Donald Trump,republican,9356.0,13653,68.52706364901486
41532,2016,Florida,FL,Orange,Donald Trump,republican,195216.0,546275,35.735847329641665
41535,2016,Florida,FL,Osceola,Donald Trump,republican,50301.0,140206,35.87649601300943
41538,2016,Florida,FL,Palm Beach,Donald Trump,republican,272402.0,662332,41.12771238593334
41541,2016,Florida,FL,Pasco,Donald Trump,republican,142101.0,241139,58.92908239646013
41544,2016,Florida,FL,Pinellas,Donald Trump,republican,239201.0,492403,48.57829866999185
41547,2016,Florida,FL,Polk,Donald Trump,republican,157430.0,284314,55.37187757198028
41550,2016,Florida,FL,Putnam,Donald Trump,republican,22138.0,33117,66.84784249781079
41553,2016,Florida,FL,St. Johns,Donald Trump,republican,88684.0,136514,64.96330046735133
41556,2016,Florida,FL,St. Lucie,Donald Trump,republican,70289.0,140847,49.90450630826358
41559,2016,Florida,FL,Santa Rosa,Donald Trump,republican,65339.0,87745,74.46464185993504
41562,2016,Florida,FL,Sarasota,Donald Trump,republican,124438.0,229063,54.32479274260793
41565,2016,Florida,FL,Seminole,Donald Trump,republican,109443.0,224896,48.66382683551508
41568,2016,Florida,FL,Sumter,Donald Trump,republican,52730.0,76665,68.77975608165396
41571,2016,Florida,FL,Suwannee,Donald Trump,republican,14287.0,18694,76.42559109874826
41574,2016,Florida,FL,Taylor,Donald Trump,republican,6930.0,9290,74.59634015069967
41577,2016,Florida,FL,Union,Donald Trump,republican,4568.0,5694,80.22479803301721
41580,2016,Florida,FL,Volusia,Donald Trump,republican,143007.0,260869,54.81946877551568
41583,2016,Florida,FL,Wakulla,Donald Trump,republican,10512.0,15351,68.47762360758257
41586,2016,Florida,FL,Walton,Donald Trump,republican,25756.0,33637,76.57044326188424
41589,2016,Florida,FL,Washington,Donald Trump,republican,8637.0,11156,77.42022230190032
41592,2016,Georgia,GA,Appling,Donald Trump,republican,5494.0,7012,78.35139760410725
41595,2016,Georgia,GA,Atkinson,Donald Trump,republican,1878.0,2610,71.95402298850576
41598,2016,Georgia,GA,Bacon,Donald Trump,republican,3364.0,4020,83.681592039801
41601,2016,Georgia,GA,Baker,Donald Trump,republican,775.0,1440,53.81944444444444
41604,2016,Georgia,GA,Baldwin,Donald Trump,republican,7697.0,16116,47.75999007197816
41607,2016,Georgia,GA,Banks,Donald Trump,republican,6134.0,6975,87.94265232974911
41610,2016,Georgia,GA,Barrow,Donald Trump,republican,21108.0,29060,72.63592567102548
41613,2016,Georgia,GA,Bartow,Donald Trump,republican,29911.0,39550,75.6283185840708
41616,2016,Georgia,GA,Ben Hill,Donald Trump,republican,3739.0,5936,62.98854447439353
41619,2016,Georgia,GA,Berrien,Donald Trump,republican,5422.0,6590,82.27617602427921
41622,2016,Georgia,GA,Bibb,Donald Trump,republican,24043.0,62596,38.4098025432935
41625,2016,Georgia,GA,Bleckley,Donald Trump,republican,3719.0,4974,74.76879774829112
41628,2016,Georgia,GA,Brantley,Donald Trump,republican,5567.0,6301,88.35105538803364
41631,2016,Georgia,GA,Brooks,Donald Trump,republican,3701.0,6336,58.41224747474747
41634,2016,Georgia,GA,Bryan,Donald Trump,republican,10529.0,15173,69.39300072497198
41637,2016,Georgia,GA,Bulloch,Donald Trump,republican,15097.0,25316,59.63422341602149
41640,2016,Georgia,GA,Burke,Donald Trump,republican,4491.0,9351,48.0269489894129
41643,2016,Georgia,GA,Butts,Donald Trump,republican,6717.0,9514,70.60121925583351
41646,2016,Georgia,GA,Calhoun,Donald Trump,republican,830.0,2025,40.98765432098765
41649,2016,Georgia,GA,Camden,Donald Trump,republican,12310.0,18901,65.12882916247817
41652,2016,Georgia,GA,Candler,Donald Trump,republican,2664.0,3763,70.79457879351581
